set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2,ReH_central,ReH_mean,ReH_std,ReH_q16,ReH_q50,ReH_q84,ImH_central,ImH_mean,ImH_std,ImH_q16,ImH_q50,ImH_q84,corr_ReH_ImH,ReH_half_68,ImH_half_68,cov_ReH_ImH
34,e1-DVCS1 Hall B,5.75,1.27,0.1539999999999999,-0.4499999999999999,-2.5663633,2.619423,0.05057416,0.048506945,1.003226006357259,0.0709551346963801,0.5370905705268194,-2.566363,-2.568378,0.09081764,-2.6538174,-2.5744228,-2.4884853,2.619423,2.6173248,0.15762389,2.4654033,2.612414,2.7912505,0.6518165713212867,0.08266605000000005,0.16292359999999984,0.00933077357573444
41,e1-DVCS1 Hall B,5.75,1.45,0.184,-0.11,-0.75056136,6.767421,0.07426519,0.06835148,0.0372961240272922,0.1009570378288907,0.0691265809280915,-0.75056076,-0.60923,0.30866548,-0.896186,-0.6174219,-0.36683676,6.7674217,6.810443,0.1853516,6.6442685,6.7743387,6.9857683,0.1180686160205595,0.26467462,0.17074990000000012,0.006754899223873094
42,e1-DVCS1 Hall B,5.75,1.4499999999999995,0.184,-0.1499999999999999,-1.5979462,5.8634977,0.0613492,0.026713656,0.0643786876854207,0.1146972787220769,0.0895379832037488,-1.5979471,-1.4958054,0.21981534,-1.6690981,-1.471429,-1.2906504,5.863498,5.895698,0.15993741,5.7239227,5.9044676,6.0763736,0.248979227835027,0.18922384999999997,0.17622545,0.008753287062616983
43,e1-DVCS1 Hall B,5.75,1.4499999999999995,0.184,-0.2,-1.7915497,5.13226,0.09688073,0.0209313,0.1388914666418872,0.0956417869632524,0.1172666268025698,-1.7915497,-1.7437961,0.15541565,-1.9116343,-1.7427325,-1.6229107,5.13226,5.143662,0.14387298,4.9799213,5.1502404,5.2935247,0.4352030250588879,0.14436179999999998,0.15680169999999993,0.009731188689498092
44,e1-DVCS1 Hall B,5.75,1.4499999999999995,0.184,-0.2599999999999999,-1.9688904,4.49296,0.021977596,0.018576484,0.3250638133915949,0.1180303497223039,0.2215470815569494,-1.9688904,-1.9561466,0.116066,-2.0702937,-1.9673817,-1.8134233,4.4929595,4.503692,0.1466569,4.352625,4.5022516,4.656082,0.5789575845867596,0.12843520000000008,0.15172849999999993,0.009854946388312648
45,e1-DVCS1 Hall B,5.75,1.4499999999999995,0.184,-0.3399999999999999,-2.2375207,3.8194206,0.055672105,0.0484679,0.8062512351126365,0.1005231915264756,0.453387213319556,-2.2375207,-2.2357616,0.10706276,-2.3458872,-2.2461462,-2.113198,3.8194199,3.8344665,0.14936337,3.699532,3.821458,3.9649267,0.7366756026031973,0.11634459999999991,0.13269734999999994,0.01178036714469435
46,e1-DVCS1 Hall B,5.75,1.45,0.184,-0.45,-2.441557,3.0890207,0.05645547,0.05210663,1.7257289361474184,0.0989083772670637,0.912318656707241,-2.4415572,-2.4345977,0.10066991,-2.537846,-2.4322941,-2.3422692,3.0890212,3.1053479,0.14244452,2.9593132,3.0787473,3.2576501,0.7881451781939353,0.0977884,0.14916845000000012,0.011301904920059173
53,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.11,1.2207043,5.9566164,0.04538388,0.19077669,0.1928567453486367,0.1443468151865121,0.1686017802675744,1.2207035,1.2916002,0.26739487,1.0289072,1.266819,1.5183688,5.956617,5.9750147,0.17691557,5.817821,5.9746456,6.134594,0.0278061267232709,0.24473080000000003,0.15838649999999976,0.0013154054130894242
54,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.15,0.2422598,5.755583,0.020731311,0.031994283,0.0675124883155437,0.1830275516097669,0.1252700199626553,0.24226043,0.3192249,0.20485947,0.10246949,0.3285923,0.51777613,5.755583,5.778817,0.11657616,5.6575513,5.7689743,5.9155965,0.2130449737501557,0.20765332,0.12902260000000032,0.005087882616000244
55,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.2,-0.6839266,5.0946493,0.012426687,0.02435118,0.2112127855911394,0.1692396123506915,0.1902261989709154,-0.6839269,-0.637374,0.14575456,-0.761382,-0.6681094,-0.4974114,5.0946493,5.1046934,0.105156384,5.0173407,5.0995855,5.2110415,0.4958275209848876,0.1319853,0.09685040000000011,0.00759955956088893
56,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.2599999999999999,-1.2040825,4.496336,0.073195405,0.03726418,0.3690939482397014,0.2019723193620595,0.2855331338008804,-1.2040821,-1.1938324,0.1279741,-1.3290755,-1.1858459,-1.0870528,4.496336,4.484745,0.12591253,4.3635464,4.485669,4.6019177,0.6804573965826507,0.12101135000000007,0.11918565000000036,0.010964579319089519
57,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.34,-1.7633739,3.9850078,0.01192102,0.09955618,0.7888581243064565,0.1627281372606922,0.4757931307835744,-1.763374,-1.766651,0.13518573,-1.8660728,-1.7632399,-1.6390582,3.985008,3.9758787,0.13733724,3.8649902,3.9871607,4.1159825,0.8415069332023184,0.11350729999999998,0.12549615000000025,0.015623447212937167
59,e1-DVCS1 Hall B,5.75,1.88,0.215,-0.11,3.132361,5.6429963,0.05880797,0.078533284,0.139841820775958,0.0754178443171441,0.107629832546551,3.1323612,3.1842368,0.34905937,2.821846,3.188509,3.5643287,5.6429963,5.598347,0.19292074,5.4176455,5.5864706,5.765387,-0.0095167360436981,0.37124135,0.17387074999999985,-0.0006408645420981509
60,e1-DVCS1 Hall B,5.75,1.88,0.215,-0.1499999999999999,0.93351066,5.675068,0.04576239,0.0459374,0.3377061484487093,0.0728483529486886,0.2052772506986989,0.9335109,1.0218574,0.25288576,0.81927705,1.0119337,1.2703817,5.675068,5.6516905,0.17595968,5.4654303,5.63713,5.8393655,0.244853660695754,0.225552325,0.1869676,0.010895424102429451
66,e1-DVCS1 Hall B,5.75,1.79,0.244,-0.15,0.8815664,4.880645,0.098294705,0.026132584,0.052479363805931,0.1090751563168692,0.0807772600614001,0.8815659,0.93687797,0.20278698,0.71348166,0.9187384,1.1540545,4.880645,4.8988934,0.1271151,4.7655997,4.896824,5.043036,0.2111741426374111,0.22028641999999998,0.13871814999999987,0.005443496532720499
67,e1-DVCS1 Hall B,5.75,1.7899999999999998,0.2439999999999999,-0.2,0.44846198,4.909444,0.10473227,0.079232275,0.0741112696713974,0.1418848707662653,0.1079980702188313,0.44846192,0.50168616,0.21074787,0.2859793,0.466064,0.7615237,4.9094434,4.914393,0.10992958,4.810175,4.902415,5.029167,0.4898355782693603,0.23777220000000002,0.10949600000000004,0.01134822894106152
68,e1-DVCS1 Hall B,5.75,1.79,0.244,-0.26,0.034613907,4.5946674,0.04242618,0.10356486,0.2512605621512951,0.1688013100738886,0.2100309361125918,0.034614235,0.064589486,0.22227533,-0.10822946,0.043515816,0.28029078,4.594668,4.5770836,0.11410716,4.4848742,4.5793777,4.6733236,0.5564811704062664,0.19426012,0.09422469999999983,0.014114146918711004
69,e1-DVCS1 Hall B,5.75,1.7999999999999998,0.2439999999999999,-0.34,-0.73769057,4.122324,0.17966884,0.050102025,0.6475407008914849,0.1730860700560291,0.4103133854737569,-0.7376896,-0.74052083,0.2055687,-0.91106665,-0.72910035,-0.55647993,4.1223245,4.0866313,0.129626,3.9999893,4.0912514,4.206749,0.5914453837867497,0.17729336,0.10337985000000005,0.01576027371224452
71,e1-DVCS1 Hall B,5.75,2.12,0.244,-0.11,0.6174767,3.8063273,0.07669525,0.19382872,2.854245745565533,0.115173443447877,1.484709594506705,0.6174766,0.5241963,0.25078806,0.29977164,0.5096816,0.7671739,3.806328,3.8061798,0.16531847,3.6250262,3.8112679,3.9580796,-0.1908465831933919,0.23370112999999998,0.16652669999999992,-0.007912479944121672
72,e1-DVCS1 Hall B,5.75,2.12,0.245,-0.15,3.7181888,4.45656,0.007500284,0.13187562,0.1685828967492662,0.087687187432898,0.1281350420910821,3.7181883,3.7182229,0.23843853,3.4714808,3.6824336,4.0358443,4.4565597,4.4258432,0.1391174,4.2807126,4.4064846,4.544206,-0.0258194933396346,0.2821817499999999,0.13174669999999988,-0.0008564570800805427
73,e1-DVCS1 Hall B,5.75,2.12,0.245,-0.2,3.497362,5.461105,0.30318972,0.13107973,0.4008182211509211,0.1321292159109152,0.2664737185309181,3.497362,3.53775,0.29836497,3.2920187,3.4701118,3.8018875,5.461105,5.4289746,0.1541776,5.2830434,5.424166,5.570896,0.3899118138666703,0.2549344,0.14392629999999995,0.0179364093819666
74,e1-DVCS1 Hall B,5.75,2.12,0.245,-0.2599999999999999,1.0274074,5.0345354,0.17863187,0.074318685,0.6693402485598787,0.1922022613998638,0.4307712549798712,1.0274079,1.0631524,0.22594641,0.8683874,1.0610561,1.2753508,5.0345354,5.009296,0.1570947,4.8535824,5.0167613,5.144158,0.589944750387861,0.2034817,0.1452878000000002,0.02094007917799495
75,e1-DVCS1 Hall B,5.75,2.12,0.245,-0.3399999999999999,-0.19494872,3.744312,0.10197618,0.02590268,0.673823744256783,0.1321967778222728,0.4030102610395279,-0.19494694,-0.2269738,0.15050359,-0.36889634,-0.22081664,-0.121408276,3.744312,3.7186594,0.14777213,3.5876925,3.7132626,3.8604076,0.6677960355293202,0.123744032,0.13635754999999983,0.014851941474743205
79,e1-DVCS1 Hall B,5.75,1.9399999999999995,0.274,-0.2,0.48609766,4.3212924,0.07258539,0.11876883,0.0098688812301559,0.0498052839959363,0.0298370826130461,0.48609737,0.5026571,0.20773184,0.30703005,0.47628334,0.7517402,4.3212924,4.3291535,0.088369094,4.250036,4.329797,4.4235053,0.0725005315316894,0.22235507499999999,0.08673465000000036,0.0013308976583089086
85,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.2,2.7091575,4.200348,0.06659729,0.029029835,0.0392838561858871,0.0824999327350699,0.0608918944604785,2.7091568,2.6609008,0.27316457,2.3533092,2.6701016,2.865709,4.2003474,4.1815343,0.109492406,4.087437,4.180487,4.281135,0.215416611578587,0.2561998999999999,0.09684899999999974,0.006442991512213994
86,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.2599999999999999,5.8931985,4.695394,0.7353027,0.17979656,0.1665143572385043,0.1646318090771312,0.1655730831578177,5.8931985,5.806338,0.49029183,5.1825185,5.853506,6.260435,4.695394,4.678601,0.11624496,4.5995517,4.681226,4.785829,-0.025237067849369,0.5389582500000003,0.09313864999999977,-0.0014383602883082495
87,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.3399999999999999,5.9979534,4.362268,0.14753632,0.09650363,0.162385098771599,0.2075596439981267,0.1849723713848629,5.9979525,5.979167,0.29673368,5.679957,6.0115967,6.2890267,4.362268,4.359802,0.10911459,4.2783847,4.356592,4.4515214,-0.0800970181471868,0.30453485,0.08656834999999985,-0.002593379157622177
88,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.4499999999999999,1.2916967,3.2508743,0.7614792,0.15536249,0.4186919696743717,0.125002276042775,0.2718471228585734,1.2916969,1.350855,0.48385632,0.95730513,1.2736199,1.8719928,3.2508743,3.2470024,0.13639355,3.122805,3.2529745,3.372696,0.5813378303625938,0.457343835,0.12494549999999993,0.03836532103715821
91,e1-DVCS1 Hall B,5.75,2.1000000000000005,0.304,-0.2,-0.75625014,3.938669,0.015628476,0.14325882,0.0042825660475954,0.0336915466440531,0.0189870563458243,-0.7562504,-0.7373312,0.09835989,-0.8407946,-0.7300226,-0.6372296,3.938669,3.9639428,0.07311902,3.8957548,3.9609833,4.0339217,0.0660647162469437,0.1017825,0.06908344999999971,0.00047513603630482674
97,e1-DVCS1 Hall B,5.75,2.58,0.304,-0.2,0.19007263,3.4567149,0.034089535,0.08259492,0.5110200724085341,0.0725657200476973,0.2917928962281157,0.19007233,0.15385716,0.16068159,-0.021906065,0.16336149,0.34502086,3.4567146,3.473971,0.10951295,3.376059,3.4702058,3.5977428,0.0933609259913907,0.18346346249999998,0.11084189999999983,0.0016428456004198204
98,e1-DVCS1 Hall B,5.75,2.58,0.305,-0.26,2.0862126,4.0098343,0.16261463,0.16263616,0.0323882252747242,0.0949257289384649,0.0636569771065946,2.086213,2.083172,0.22375183,1.8763348,2.0643628,2.32773,4.009834,4.009483,0.09954382,3.9348395,4.0050106,4.091696,0.2341823912105647,0.22569759999999994,0.07842824999999998,0.005215970602145296
99,e1-DVCS1 Hall B,5.75,2.58,0.3049999999999999,-0.3399999999999999,4.2444224,3.8003626,0.4653718,0.38074508,0.1533590735653155,0.1126492278603142,0.1330041507128149,4.2444224,4.1761456,0.43807042,3.6457376,4.253554,4.6508484,3.8003626,3.8045702,0.098528326,3.7158854,3.800706,3.893899,-0.2173733570433592,0.5025554000000001,0.08900680000000016,-0.009382343863710238
100,e1-DVCS1 Hall B,5.75,2.58,0.3049999999999999,-0.4499999999999999,4.822535,3.0806932,0.07530024,0.10788257,0.0935183257777347,0.0981864465266613,0.095852386152198,4.8225355,4.833512,0.23029655,4.665084,4.829027,5.075318,3.0806932,3.0825338,0.10283634,2.9935675,3.0791283,3.1705413,-0.4175012616367913,0.205117,0.08848689999999992,-0.0098876215563521
107,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.2,-2.2307596,4.4162,0.29308334,0.026492989,0.5098735155273507,0.0170706071399348,0.2634720613336428,-2.2307596,-2.259645,0.13703926,-2.381218,-2.268512,-2.1129355,4.4162,4.443246,0.1165044,4.333479,4.457903,4.5520487,0.1149782249692994,0.1341412500000001,0.10928485000000032,0.001835705174613895
108,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.26,-0.16472349,3.9846482,0.16272911,0.16657348,0.008992169452871,0.0580549120983289,0.0335235407756,-0.16472396,-0.17022112,0.14279531,-0.29021916,-0.18028772,-0.027744912,3.9846482,4.004596,0.08795038,3.900584,4.0044794,4.1014476,0.2396535396782836,0.13123712399999998,0.10043180000000018,0.0030097852652623057
109,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.34,1.5250106,4.243561,0.21861464,0.2996887,0.0227930028271017,0.127540411224803,0.0751667070259523,1.5250106,1.5267552,0.19531572,1.3328912,1.5076909,1.7390534,4.243561,4.247404,0.076457866,4.1719666,4.2634945,4.3218446,0.3628948025275503,0.20308110000000001,0.07493900000000009,0.005419261644155494
110,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.4499999999999998,2.9187639,3.5203438,0.4121816,0.06112792,0.0911688793481332,0.132980393992586,0.1120746366703596,2.9187646,2.920965,0.23109828,2.6498485,2.9315348,3.1819959,3.520344,3.5209854,0.08539054,3.4430757,3.5179336,3.6011934,0.130358202699767,0.26607369999999997,0.07905885000000001,0.0025724375311709543
116,e1-DVCS1 Hall B,5.75,2.97,0.365,-0.2599999999999999,-1.0028038,5.0266604,0.082822874,0.087330736,0.0774219781042814,0.0870388373035977,0.0822304077039395,-1.0028039,-1.0026507,0.10816394,-1.095336,-1.0072392,-0.8910101,5.026661,5.0320897,0.07429122,4.964772,5.039879,5.1078825,0.4290207464043639,0.10216295000000003,0.07155524999999985,0.0034474524363096613
117,e1-DVCS1 Hall B,5.75,2.97,0.365,-0.34,-0.38728714,4.0614567,0.042657536,0.023488505,0.0198469399417841,0.0886301464140897,0.0542385431779369,-0.38728744,-0.39179215,0.12038055,-0.5055543,-0.3698912,-0.28846794,4.061457,4.0583735,0.062814064,3.983599,4.0688853,4.112167,0.5659852517712813,0.10854318000000002,0.06428400000000023,0.004279749309701261
118,e1-DVCS1 Hall B,5.75,2.97,0.365,-0.4499999999999998,0.2205356,4.101506,0.07635267,0.10181432,0.0643559199591972,0.2446761486609639,0.1545160343100806,0.22053581,0.20861083,0.17367727,0.059885386,0.1856543,0.39045635,4.101506,4.106368,0.05586629,4.0609336,4.100115,4.1662035,0.6808560811453253,0.165285482,0.05263494999999985,0.0066061455204951625
125,e1-DVCS1 Hall B,5.75,3.18,0.4000000000000001,-0.3399999999999999,-0.0075808614,3.7768657,0.18120527,0.23951438,0.0781061121742248,0.0458993683016299,0.0620027402379273,-0.007580757,0.00020241737,0.14788274,-0.12126994,-0.017795853,0.17425255,3.7768655,3.777327,0.08390724,3.698148,3.7958279,3.854577,0.2045134426314211,0.147761245,0.07821449999999985,0.002537691259899567
126,e1-DVCS1 Hall B,5.75,3.18,0.4000000000000001,-0.4499999999999998,-0.013443679,3.285642,0.15983808,0.17469496,0.0949569851051906,0.0714888742813018,0.0832229296932462,-0.013443708,-0.041142177,0.18064637,-0.21653305,-0.03284476,0.17005098,3.2856421,3.283635,0.07035169,3.2185688,3.2874951,3.3504767,0.2816802191590414,0.19329201499999998,0.06595395000000015,0.0035798112094344945
138,E00-110 Hall A,5.7572,1.82,0.343,-0.172,-0.8857043,4.9150147,0.02066125,0.019492064,0.8051262704302838,0.2802320142478084,0.5426791423390461,-0.88570404,-0.8686483,0.07715664,-0.95072347,-0.8620913,-0.7984541,4.9150147,4.896667,0.060199194,4.826092,4.899913,4.9619427,-0.3683910463098386,0.07613468499999998,0.06792534999999988,-0.0017110907738337995
139,E00-110 Hall A,5.7572,1.933,0.368,-0.232,-1.0487568,4.558069,0.008246039,0.009059878,1.0772193336789222,0.2540524969136409,0.6656359152962815,-1.0487568,-1.0402296,0.050525136,-1.0888623,-1.0348163,-0.9921269,4.558069,4.551537,0.028698636,4.525731,4.5505724,4.579495,-0.0826315119627398,0.04836769999999996,0.02688199999999963,-0.00011981589784347762
140,E00-110 Hall A,5.7572,1.964,0.375,-0.278,-1.0783547,4.283202,0.05299585,0.014977421,0.9832252482095588,0.3542141961374345,0.6687197221734966,-1.0783552,-1.0773919,0.04857967,-1.1296066,-1.0676904,-1.0291532,4.2832026,4.2801895,0.029839352,4.2469263,4.276785,4.3192306,0.3110094368904178,0.05022669999999996,0.03615214999999994,0.0004508348861401006
141,E00-110 Hall A,5.7572,1.986,0.379,-0.323,-0.63961697,4.167299,0.0713797,0.012105839,0.7495370817908388,0.4372400306799897,0.5933885562354142,-0.639617,-0.64558,0.059874702,-0.7211731,-0.64195746,-0.5815155,4.167299,4.1632223,0.03113984,4.1321692,4.1580477,4.198044,0.2896765116327702,0.06982880000000002,0.03293740000000023,0.0005400985653090491
142,E00-110 Hall A,5.7572,1.999,0.381,-0.371,-0.07450323,4.225514,0.09665286,0.012213894,0.5066878729469318,0.4467871784707959,0.4767375257088639,-0.07450354,-0.07660099,0.07732111,-0.17642167,-0.06593161,1.5463156e-05,4.2255135,4.2261696,0.0299887,4.192743,4.2266,4.256251,0.2657037736162369,0.08821856657800001,0.03175399999999984,0.0006161031682448933
143,E00-110 Hall A,5.7572,2.012,0.3779999999999999,-0.192,-0.33166105,4.824013,0.044656955,0.032400504,0.0456104356811093,0.1305100872998374,0.0880602614904733,-0.33166113,-0.33148628,0.08609709,-0.4268571,-0.33741248,-0.2318618,4.824013,4.8105726,0.053011443,4.7563424,4.8121095,4.855427,-0.5620055705885334,0.09749764999999999,0.049542299999999706,-0.0025650670350941857
144,E00-110 Hall A,5.7572,2.054,0.392,-0.233,-0.9043933,4.5586677,0.04019652,0.01629433,0.2072040271679214,0.1288360232979976,0.1680200252329595,-0.90439296,-0.90296686,0.07029599,-0.9789692,-0.9009066,-0.8365802,4.558667,4.554056,0.03602448,4.511844,4.5547056,4.5921073,-0.199699749799479,0.0711945,0.040131650000000185,-0.0005057149506193734
145,E00-110 Hall A,5.7572,2.074,0.3979999999999999,-0.279,-1.3550729,4.2274113,0.0819179,0.037834596,0.2921901742033692,0.0854914152899985,0.1888407947466838,-1.3550729,-1.3574277,0.06272429,-1.4212248,-1.3527274,-1.2861824,4.2274103,4.223772,0.03400552,4.187724,4.2247987,4.2539563,0.2105265162451484,0.06752120000000006,0.03311614999999968,0.00044904718505705583
146,E00-110 Hall A,5.7572,2.084,0.4000000000000001,-0.324,-1.0372368,4.055161,0.047842685,0.015765002,0.3032962931079389,0.1689323229487777,0.2361143080283583,-1.0372373,-1.0504204,0.06446038,-1.11452,-1.0446715,-0.9783607,4.055161,4.049278,0.032694843,4.018734,4.046106,4.0803456,0.3148766496545792,0.06807964999999999,0.030805799999999994,0.0006636094676362538
147,E00-110 Hall A,5.7572,2.091,0.401,-0.371,-0.31819534,4.056643,0.07549123,0.033637714,0.2595149615746466,0.2436941151043326,0.2516045383394896,-0.31819576,-0.32715863,0.076581135,-0.43199685,-0.30492872,-0.2556896,4.056643,4.055777,0.033011448,4.025402,4.0530443,4.087289,0.2832510095517908,0.08815362499999999,0.030943500000000235,0.0007160738918414334
148,E00-110 Hall A,5.7572,2.161,0.336,-0.171,-1.3684587,4.568411,0.01515342,0.02324177,0.2542916895936158,0.0606520655675695,0.1574718775805927,-1.3684589,-1.3693945,0.08724143,-1.4546875,-1.3707505,-1.2731019,4.568411,4.564139,0.083596274,4.4736333,4.5575743,4.6574802,0.0207966271239717,0.0907928,0.0919234499999999,0.00015167101793563996
149,E00-110 Hall A,5.7572,2.19,0.342,-0.231,-1.2394058,4.47801,0.08060117,0.034575347,0.2711988624757904,0.1723818373641952,0.2217903499199928,-1.2394056,-1.234977,0.06947413,-1.3179477,-1.2348042,-1.1513319,4.47801,4.491236,0.048892953,4.431874,4.493437,4.5421515,0.4287969663670936,0.08330789999999999,0.055138750000000236,0.0014565355512289463
150,E00-110 Hall A,5.757199999999999,2.1910000000000003,0.3419999999999999,-0.3239999999999999,-0.96788037,4.006231,0.14055288,0.05325312,0.2369446429009375,0.2439190607656368,0.2404318518332872,-0.96788037,-0.96102244,0.1053343,-1.080922,-0.9574144,-0.8562647,4.006231,4.013921,0.06488703,3.9329104,4.023866,4.0783944,0.767725808100126,0.11232864999999997,0.07274199999999986,0.005247275296019827
151,E00-110 Hall A,5.757199999999999,2.193,0.3419999999999999,-0.3710000000000001,-0.68275046,3.8648348,0.2705151,0.10197365,0.2332415271566083,0.2365437619684734,0.2348926445625409,-0.6827501,-0.69218737,0.14262749,-0.84490585,-0.66927457,-0.5779283,3.8648348,3.8675463,0.06231583,3.8060436,3.8727965,3.9200685,0.8323847074332473,0.133488775,0.05701244999999999,0.007398194010171666
152,E00-110 Hall A,5.757199999999999,2.1940000000000004,0.343,-0.2780000000000001,-0.9504883,4.175073,0.03762831,0.012519574,0.2423259312315396,0.2783001594691791,0.2603130453503594,-0.9504883,-0.93076044,0.08343601,-1.0200155,-0.91435623,-0.8546532,4.1750736,4.187613,0.057459496,4.1222844,4.194707,4.246338,0.658315300248721,0.08268114999999998,0.06202679999999994,0.0031560893421567707
153,E00-110 Hall A,5.7572,2.218,0.345,-0.176,-1.218353,4.873381,0.021026818,0.014681811,0.4036530875033244,0.1108201259808039,0.2572366067420641,-1.2183533,-1.2183951,0.09147633,-1.3024774,-1.2362298,-1.1092486,4.873381,4.8687677,0.07643983,4.789247,4.870261,4.942737,-0.0233167102987054,0.09661439999999999,0.07674500000000029,-0.00016304058384085369
154,E00-110 Hall A,5.7572,2.318,0.363,-0.232,-1.3428962,4.9436445,0.023911279,0.011106115,0.6727974708077102,0.5177532642853478,0.595275367546529,-1.3428965,-1.3432072,0.07617641,-1.4306595,-1.3393766,-1.2587316,4.9436445,4.9541698,0.04286443,4.914604,4.9554253,4.9889064,-0.0060280783612203,0.08596395000000001,0.03715120000000027,-1.9683233469244854e-05
